"rowid","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File","Week","True.Positive"
401,67004,"UF2-12","20240606",6,0,33,"Eastern Wood-Pewee",0.885363101959229,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060000.wav",23,NA
402,67000,"UF3-9","20240613",8,0,6,"Eastern Wood-Pewee",0.411970108747482,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080000.wav",24,NA
403,67004,"UF2-12","20240530",6,2,36,"Eastern Wood-Pewee",0.521985590457916,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240530_060200.wav",22,NA
404,67000,"UF3-9","20240612",6,2,48,"Eastern Wood-Pewee",0.667650818824768,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060200.wav",24,NA
405,67004,"UF2-12","20240606",6,1,21,"Eastern Wood-Pewee",0.609003126621246,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
406,67004,"UF2-12","20240603",7,2,24,"Eastern Wood-Pewee",0.479746848344803,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240603_070200.wav",23,NA
407,67000,"UF3-9","20240604",7,0,51,"Eastern Wood-Pewee",0.393157571554184,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240604_070000.wav",23,NA
408,67000,"UF3-9","20240612",6,2,27,"Eastern Wood-Pewee",0.35157573223114,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060200.wav",24,NA
409,67004,"UF2-12","20240517",8,4,12,"Eastern Wood-Pewee",0.77501505613327,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240517_080400.wav",20,NA
410,67000,"UF3-9","20240613",8,1,24,"Eastern Wood-Pewee",0.618818759918213,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080100.wav",24,NA
411,67000,"UF3-9","20240613",7,4,0,"Eastern Wood-Pewee",0.45728325843811,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
412,67000,"UF3-9","20240606",7,4,27,"Eastern Wood-Pewee",0.430664598941803,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_070400.wav",23,NA
413,67004,"UF2-12","20240524",8,4,48,"Eastern Wood-Pewee",0.591255724430084,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240524_080400.wav",21,NA
414,67004,"UF2-12","20240607",6,0,18,"Eastern Wood-Pewee",0.425372809171677,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240607_060000.wav",23,NA
415,67000,"UF3-9","20240612",6,1,27,"Eastern Wood-Pewee",0.347804337739944,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060100.wav",24,NA
416,67002,"UF3-4","20240519",7,1,15,"Eastern Wood-Pewee",0.321629673242569,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240519_070100.wav",20,NA
417,67004,"UF2-12","20240606",6,2,33,"Eastern Wood-Pewee",0.825186371803284,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060200.wav",23,NA
418,67004,"UF2-12","20240606",6,1,33,"Eastern Wood-Pewee",0.95802253484726,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
419,66998,"UF3-1","20240612",7,3,42,"Eastern Wood-Pewee",0.598324358463287,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_070300.wav",24,NA
420,67007,"UF2-9","20240613",8,2,24,"Eastern Wood-Pewee",0.318879634141922,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080200.wav",24,NA
421,67003,"UF2-1","20240521",7,3,21,"Eastern Wood-Pewee",0.331406205892563,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240521_070300.wav",21,NA
422,67004,"UF2-12","20240606",6,4,6,"Eastern Wood-Pewee",0.962095856666565,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060400.wav",23,NA
423,67007,"UF2-9","20240613",8,0,54,"Eastern Wood-Pewee",0.454546689987183,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080000.wav",24,NA
424,67004,"UF2-12","20240523",7,0,57,"Eastern Wood-Pewee",0.337923020124435,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240523_070000.wav",21,NA
425,67000,"UF3-9","20240613",8,4,57,"Eastern Wood-Pewee",0.453088253736496,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080400.wav",24,NA
426,67000,"UF3-9","20240613",8,2,57,"Eastern Wood-Pewee",0.438110113143921,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080200.wav",24,NA
427,67000,"UF3-9","20240613",7,4,21,"Eastern Wood-Pewee",0.588747620582581,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
428,67004,"UF2-12","20240517",8,3,21,"Eastern Wood-Pewee",0.516879558563232,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240517_080300.wav",20,NA
429,67000,"UF3-9","20240612",6,3,0,"Eastern Wood-Pewee",0.609643578529358,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060300.wav",24,NA
430,67000,"UF3-9","20240613",7,4,6,"Eastern Wood-Pewee",0.436570972204208,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
431,67000,"UF3-9","20240613",7,4,39,"Eastern Wood-Pewee",0.540310382843018,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
432,67004,"UF2-12","20240606",6,4,24,"Eastern Wood-Pewee",0.340370625257492,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060400.wav",23,NA
433,67004,"UF2-12","20240606",6,1,6,"Eastern Wood-Pewee",0.933672845363617,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
434,67000,"UF3-9","20240612",6,1,15,"Eastern Wood-Pewee",0.772548794746399,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060100.wav",24,NA
435,67004,"UF2-12","20240606",6,1,45,"Eastern Wood-Pewee",0.914218068122864,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
436,67000,"UF3-9","20240612",6,0,0,"Eastern Wood-Pewee",0.812956571578979,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060000.wav",24,NA
437,67000,"UF3-9","20240612",6,2,15,"Eastern Wood-Pewee",0.621328175067902,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060200.wav",24,NA
438,67004,"UF2-12","20240606",6,2,9,"Eastern Wood-Pewee",0.952462553977966,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060200.wav",23,NA
439,67007,"UF2-9","20240613",8,3,21,"Eastern Wood-Pewee",0.723033607006073,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080300.wav",24,NA
440,67000,"UF3-9","20240613",8,1,39,"Eastern Wood-Pewee",0.420327633619308,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080100.wav",24,NA
441,67000,"UF3-9","20240612",6,0,21,"Eastern Wood-Pewee",0.308780610561371,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060000.wav",24,NA
442,67007,"UF2-9","20240613",8,2,36,"Eastern Wood-Pewee",0.492874920368195,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080200.wav",24,NA
443,67004,"UF2-12","20240606",6,3,36,"Eastern Wood-Pewee",0.94046825170517,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060300.wav",23,NA
444,67000,"UF3-9","20240612",6,2,33,"Eastern Wood-Pewee",0.802212417125702,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060200.wav",24,NA
445,67000,"UF3-9","20240613",8,3,15,"Eastern Wood-Pewee",0.576496541500092,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080300.wav",24,NA
446,67004,"UF2-12","20240606",6,1,24,"Eastern Wood-Pewee",0.957436323165894,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
447,67000,"UF3-9","20240613",8,1,48,"Eastern Wood-Pewee",0.659123718738556,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080100.wav",24,NA
448,67000,"UF3-9","20240612",7,1,0,"Eastern Wood-Pewee",0.451110452413559,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_070100.wav",24,NA
449,67002,"UF3-4","20240519",7,2,9,"Eastern Wood-Pewee",0.416145443916321,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240519_070200.wav",20,NA
450,67004,"UF2-12","20240523",8,3,39,"Eastern Wood-Pewee",0.409485965967178,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240523_080300.wav",21,NA
451,67004,"UF2-12","20240606",6,0,36,"Eastern Wood-Pewee",0.978331685066223,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060000.wav",23,NA
452,67004,"UF2-12","20240517",8,3,6,"Eastern Wood-Pewee",0.310353994369507,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240517_080300.wav",20,NA
453,67004,"UF2-12","20240529",6,3,18,"Eastern Wood-Pewee",0.549118757247925,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240529_060300.wav",22,NA
454,67000,"UF3-9","20240613",8,3,57,"Eastern Wood-Pewee",0.563227236270905,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080300.wav",24,NA
455,67000,"UF3-9","20240612",6,1,51,"Eastern Wood-Pewee",0.759630858898163,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060100.wav",24,NA
456,67004,"UF2-12","20240606",6,3,45,"Eastern Wood-Pewee",0.973276317119598,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060300.wav",23,NA
457,67004,"UF2-12","20240606",6,1,51,"Eastern Wood-Pewee",0.985116302967072,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
458,67000,"UF3-9","20240611",7,0,18,"Eastern Wood-Pewee",0.618998765945435,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240611_070000.wav",24,NA
459,67004,"UF2-12","20240529",6,3,33,"Eastern Wood-Pewee",0.360228180885315,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240529_060300.wav",22,NA
460,67000,"UF3-9","20240612",7,4,9,"Eastern Wood-Pewee",0.322932064533234,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_070400.wav",24,NA
461,67000,"UF3-9","20240612",6,1,33,"Eastern Wood-Pewee",0.775034964084625,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060100.wav",24,NA
462,67004,"UF2-12","20240606",6,3,9,"Eastern Wood-Pewee",0.955543041229248,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060300.wav",23,NA
463,67000,"UF3-9","20240613",7,3,48,"Eastern Wood-Pewee",0.384788423776627,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070300.wav",24,NA
464,67000,"UF3-9","20240613",7,4,39,"Eastern Wood-Pewee",0.540310382843018,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
465,67004,"UF2-12","20240606",6,1,45,"Eastern Wood-Pewee",0.914218068122864,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
466,67004,"UF2-12","20240606",6,1,36,"Eastern Wood-Pewee",0.798669636249542,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
467,67000,"UF3-9","20240613",7,4,21,"Eastern Wood-Pewee",0.588747620582581,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
468,67004,"UF2-12","20240524",8,3,57,"Eastern Wood-Pewee",0.525876820087433,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240524_080300.wav",21,NA
469,67004,"UF2-12","20240607",6,1,3,"Eastern Wood-Pewee",0.409868568181992,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240607_060100.wav",23,NA
470,67004,"UF2-12","20240606",6,3,18,"Eastern Wood-Pewee",0.973132431507111,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060300.wav",23,NA
471,67000,"UF3-9","20240613",7,4,30,"Eastern Wood-Pewee",0.613662004470825,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
472,67004,"UF2-12","20240606",6,0,27,"Eastern Wood-Pewee",0.746739089488983,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060000.wav",23,NA
473,67007,"UF2-9","20240613",8,1,51,"Eastern Wood-Pewee",0.483593046665192,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080100.wav",24,NA
474,67004,"UF2-12","20240603",7,2,0,"Eastern Wood-Pewee",0.417640388011932,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240603_070200.wav",23,NA
475,67007,"UF2-9","20240613",8,1,0,"Eastern Wood-Pewee",0.310541152954102,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080100.wav",24,NA
476,67004,"UF2-12","20240606",6,3,24,"Eastern Wood-Pewee",0.941989958286285,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060300.wav",23,NA
477,67004,"UF2-12","20240517",8,3,57,"Eastern Wood-Pewee",0.462211430072784,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240517_080300.wav",20,NA
478,67000,"UF3-9","20240612",6,0,42,"Eastern Wood-Pewee",0.860659241676331,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060000.wav",24,NA
479,66998,"UF3-1","20240612",7,0,3,"Eastern Wood-Pewee",0.492898494005203,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_070000.wav",24,NA
480,67000,"UF3-9","20240613",7,4,6,"Eastern Wood-Pewee",0.436570972204208,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
481,67004,"UF2-12","20240606",6,3,27,"Eastern Wood-Pewee",0.904771208763123,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060300.wav",23,NA
482,67004,"UF2-12","20240606",6,2,57,"Eastern Wood-Pewee",0.945993959903717,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060200.wav",23,NA
483,67004,"UF2-12","20240517",8,3,30,"Eastern Wood-Pewee",0.411711722612381,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240517_080300.wav",20,NA
484,67000,"UF3-9","20240613",7,4,12,"Eastern Wood-Pewee",0.40463861823082,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_070400.wav",24,NA
485,67000,"UF3-9","20240612",6,0,45,"Eastern Wood-Pewee",0.396307975053787,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060000.wav",24,NA
486,67004,"UF2-12","20240530",6,2,6,"Eastern Wood-Pewee",0.462078630924225,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240530_060200.wav",22,NA
487,67000,"UF3-9","20240612",6,0,48,"Eastern Wood-Pewee",0.979504406452179,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060000.wav",24,NA
488,67000,"UF3-9","20240613",8,3,42,"Eastern Wood-Pewee",0.407199740409851,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080300.wav",24,NA
489,67004,"UF2-12","20240606",6,1,24,"Eastern Wood-Pewee",0.957436323165894,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
490,67000,"UF3-9","20240613",8,0,42,"Eastern Wood-Pewee",0.470043450593948,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080000.wav",24,NA
491,67007,"UF2-9","20240613",8,1,15,"Eastern Wood-Pewee",0.50415450334549,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080100.wav",24,NA
492,67000,"UF3-9","20240612",6,0,27,"Eastern Wood-Pewee",0.799742877483368,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060000.wav",24,NA
493,67004,"UF2-12","20240530",6,3,42,"Eastern Wood-Pewee",0.4057557284832,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240530_060300.wav",22,NA
494,67000,"UF3-9","20240612",6,1,3,"Eastern Wood-Pewee",0.590727984905243,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060100.wav",24,NA
495,67000,"UF3-9","20240613",8,2,15,"Eastern Wood-Pewee",0.584173023700714,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240613_080200.wav",24,NA
496,67000,"UF3-9","20240612",6,1,57,"Eastern Wood-Pewee",0.585598289966583,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240612_060100.wav",24,NA
497,67004,"UF2-12","20240606",6,4,30,"Eastern Wood-Pewee",0.960868060588837,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060400.wav",23,NA
498,67004,"UF2-12","20240606",6,1,33,"Eastern Wood-Pewee",0.95802253484726,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
499,67004,"UF2-12","20240606",6,1,12,"Eastern Wood-Pewee",0.937932789325714,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060100.wav",23,NA
500,67004,"UF2-12","20240606",6,3,51,"Eastern Wood-Pewee",0.978335201740265,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Eastern_Wood_Pewee\20240606_060300.wav",23,NA
501,67004,"UF2-12","20240524",7,3,24,"Hooded Warbler",0.952424585819244,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240524_070300.wav",21,NA
502,67007,"UF2-9","20240608",6,4,0,"Hooded Warbler",0.562991797924042,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_060400.wav",23,NA
503,67004,"UF2-12","20240519",7,3,48,"Hooded Warbler",0.564369857311249,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240519_070300.wav",20,NA
504,67004,"UF2-12","20240604",8,2,42,"Hooded Warbler",0.532708644866943,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240604_080200.wav",23,NA
505,67007,"UF2-9","20240608",7,1,54,"Hooded Warbler",0.671711623668671,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_070100.wav",23,NA
506,67007,"UF2-9","20240611",8,3,15,"Hooded Warbler",0.970272660255432,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240611_080300.wav",24,NA
507,67004,"UF2-12","20240608",8,1,0,"Hooded Warbler",0.880925714969635,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_080100.wav",23,NA
508,67004,"UF2-12","20240608",8,1,36,"Hooded Warbler",0.56335037946701,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_080100.wav",23,NA
509,67006,"UF2-6","20240606",8,0,48,"Hooded Warbler",0.526665151119232,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240606_080000.wav",23,NA
510,67004,"UF2-12","20240608",8,1,36,"Hooded Warbler",0.56335037946701,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_080100.wav",23,NA
511,67004,"UF2-12","20240608",8,1,0,"Hooded Warbler",0.880925714969635,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_080100.wav",23,NA
512,67007,"UF2-9","20240608",6,2,51,"Hooded Warbler",0.647408545017242,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_060200.wav",23,NA
513,67004,"UF2-12","20240517",7,1,39,"Hooded Warbler",0.501867890357971,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240517_070100.wav",20,NA
514,67004,"UF2-12","20240524",7,2,48,"Hooded Warbler",0.607402801513672,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240524_070200.wav",21,NA
515,67004,"UF2-12","20240517",7,0,39,"Hooded Warbler",0.613702237606049,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240517_070000.wav",20,NA
516,67007,"UF2-9","20240608",7,1,15,"Hooded Warbler",0.526188552379608,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_070100.wav",23,NA
517,67007,"UF2-9","20240603",8,4,0,"Hooded Warbler",0.620654821395874,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240603_080400.wav",23,NA
518,67007,"UF2-9","20240613",7,2,24,"Hooded Warbler",0.414576649665833,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240613_070200.wav",24,NA
519,67007,"UF2-9","20240608",7,2,33,"Hooded Warbler",0.63772064447403,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_070200.wav",23,NA
520,67007,"UF2-9","20240602",8,0,3,"Hooded Warbler",0.537846863269806,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240602_080000.wav",22,NA
521,67005,"UF2-4","20240528",8,1,3,"Hooded Warbler",0.504141867160797,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240528_080100.wav",22,NA
522,67007,"UF2-9","20240611",8,4,48,"Hooded Warbler",0.699398398399353,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240611_080400.wav",24,NA
523,67007,"UF2-9","20240613",7,1,21,"Hooded Warbler",0.399562180042267,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240613_070100.wav",24,NA
524,67007,"UF2-9","20240611",8,2,12,"Hooded Warbler",0.895747363567352,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240611_080200.wav",24,NA
525,67004,"UF2-12","20240524",7,2,3,"Hooded Warbler",0.99178421497345,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240524_070200.wav",21,NA
526,67004,"UF2-12","20240517",7,0,39,"Hooded Warbler",0.613702237606049,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240517_070000.wav",20,NA
527,67007,"UF2-9","20240604",7,0,51,"Hooded Warbler",0.471260696649551,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240604_070000.wav",23,NA
528,67007,"UF2-9","20240602",7,4,42,"Hooded Warbler",0.836142063140869,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240602_070400.wav",22,NA
529,67004,"UF2-12","20240607",7,0,42,"Hooded Warbler",0.710608720779419,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240607_070000.wav",23,NA
530,67007,"UF2-9","20240608",7,2,33,"Hooded Warbler",0.63772064447403,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_070200.wav",23,NA
531,67007,"UF2-9","20240531",8,0,30,"Hooded Warbler",0.574404656887054,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240531_080000.wav",22,NA
532,67006,"UF2-6","20240606",8,0,48,"Hooded Warbler",0.526665151119232,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240606_080000.wav",23,NA
533,67007,"UF2-9","20240609",8,2,30,"Hooded Warbler",0.551971793174744,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240609_080200.wav",23,NA
534,67004,"UF2-12","20240608",6,1,48,"Hooded Warbler",0.984154582023621,"C:\Users\willh\Documents\NCSU\Data\Audio\UF_Validations\Hooded_Warbler\20240608_060100.wav",23,NA
